team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arg Juniors,28.0,60.8,11.0,121.0,990.0,8.0,6.0,1.0,1.0,22.0,3.0,0.73,0.55,1.27,0.64,1.18,8.4,7.6,0.76,0.69,11.0,11.0,990.0,15.0,1.36,35.0,21.0,62.9,4.0,1.0,6.0,3.0,27.3,2.0,2.0,0.0,0.0,11.0,1.0,0.0,1.0,11.2,0.28,-2.8,-0.26,44.0,110.0,40.0,233.0,33.0,34.8,33.9,67.0,43.3,36.6,103.0,1.0,1.0,7.0,0.64,14.5,40.0,6.0,25.3,3.64,0.04,0.18,0.05,-0.4,-0.6,4500.0,5864.0,76.7,84918.0,30915.0,1786.0,2105.0,84.8,2007.0,2385.0,84.2,592.0,1030.0,57.5,113.0,397.0,93.0,30.0,504.0,5234.0,599.0,156.0,4.0,33.0,295.0,66.0,15.0,47.0,0.0,284.0,31.0,131.0,269.0,24.45,192.0,30.0,18.0,12.0,14.0,1.27,11.0,2.0,1.0,0.0,0.0,218.0,131.0,99.0,95.0,24.0,117.0,25.0,92.0,83.0,156.0,0.0,7122.0,525.0,1944.0,3440.0,1798.0,222.0,7121.0,3845.0,176.0,129.0,25.0,4449.0,198.0,145.0,3.0,117.0,145.0,31.0,0.0,2.0,1.0,559.0,163.0,175.0,48.2
Atlé Tucumán,25.0,46.3,11.0,121.0,990.0,13.0,10.0,2.0,3.0,21.0,0.0,1.18,0.91,2.09,1.0,1.91,14.8,12.4,1.34,1.13,11.0,11.0,990.0,7.0,0.64,38.0,30.0,84.2,6.0,4.0,1.0,5.0,45.5,2.0,1.0,1.0,0.0,11.0,1.0,1.0,0.0,9.3,0.2,2.3,0.21,89.0,202.0,44.1,169.0,15.0,71.6,48.3,89.0,91.0,62.2,180.0,8.0,4.4,1.0,0.09,9.3,43.0,10.0,30.9,3.91,0.08,0.26,0.09,-1.8,-1.4,2875.0,4255.0,67.6,54667.0,26296.0,1233.0,1544.0,79.9,1099.0,1440.0,76.3,423.0,903.0,46.8,94.0,307.0,86.0,30.0,362.0,3712.0,518.0,110.0,7.0,20.0,189.0,55.0,23.0,25.0,0.0,246.0,25.0,128.0,246.0,22.36,172.0,26.0,15.0,19.0,23.0,2.09,14.0,4.0,3.0,1.0,1.0,237.0,148.0,108.0,97.0,32.0,178.0,37.0,141.0,107.0,302.0,4.0,5752.0,558.0,1756.0,2646.0,1411.0,210.0,5749.0,2305.0,106.0,92.0,21.0,2843.0,236.0,100.0,0.0,139.0,104.0,25.0,2.0,2.0,0.0,552.0,221.0,204.0,52.0
Banfield,32.0,46.7,11.0,121.0,990.0,9.0,7.0,1.0,4.0,32.0,2.0,0.82,0.64,1.45,0.73,1.36,12.8,9.7,1.17,0.89,11.0,11.0,990.0,15.0,1.36,48.0,32.0,70.8,2.0,4.0,5.0,2.0,18.2,2.0,1.0,1.0,0.0,11.0,0.0,1.0,0.0,13.9,0.26,-1.1,-0.1,30.0,93.0,32.3,208.0,43.0,31.7,32.8,95.0,28.4,30.3,157.0,5.0,3.2,3.0,0.27,13.7,35.0,8.0,30.2,3.18,0.07,0.23,0.09,-3.8,-1.7,2817.0,4050.0,69.6,56927.0,23434.0,963.0,1199.0,80.3,1376.0,1753.0,78.5,420.0,839.0,50.1,81.0,232.0,64.0,28.0,332.0,3472.0,556.0,122.0,5.0,25.0,242.0,57.0,15.0,38.0,1.0,257.0,22.0,110.0,199.0,18.09,110.0,33.0,14.0,20.0,15.0,1.36,8.0,2.0,2.0,0.0,1.0,221.0,142.0,106.0,86.0,29.0,122.0,34.0,88.0,72.0,231.0,4.0,5286.0,593.0,1808.0,2313.0,1226.0,174.0,5282.0,2480.0,147.0,108.0,20.0,2790.0,205.0,107.0,1.0,142.0,118.0,22.0,2.0,2.0,0.0,489.0,179.0,189.0,48.6
Barracas Central,27.0,51.3,11.0,121.0,990.0,5.0,4.0,0.0,0.0,20.0,1.0,0.45,0.36,0.82,0.45,0.82,7.8,7.8,0.7,0.7,11.0,11.0,990.0,12.0,1.09,54.0,43.0,83.3,1.0,5.0,5.0,3.0,27.3,3.0,3.0,0.0,0.0,11.0,0.0,1.0,1.0,15.5,0.23,4.5,0.41,51.0,119.0,42.9,231.0,70.0,30.3,31.9,131.0,37.4,36.9,230.0,16.0,7.0,15.0,1.36,14.8,36.0,11.0,28.3,3.27,0.04,0.14,0.06,-2.8,-2.8,3537.0,4775.0,74.1,63300.0,27628.0,1546.0,1827.0,84.6,1526.0,1874.0,81.4,372.0,754.0,49.3,93.0,263.0,42.0,20.0,321.0,4123.0,641.0,168.0,11.0,31.0,183.0,41.0,8.0,21.0,0.0,278.0,11.0,152.0,217.0,19.73,144.0,20.0,17.0,19.0,9.0,0.82,6.0,1.0,1.0,0.0,1.0,215.0,137.0,111.0,88.0,16.0,151.0,44.0,107.0,100.0,348.0,5.0,6293.0,817.0,2375.0,2898.0,1102.0,131.0,6293.0,2985.0,138.0,105.0,20.0,3504.0,207.0,151.0,1.0,113.0,151.0,11.0,0.0,3.0,1.0,488.0,175.0,170.0,50.7
Belgrano,33.0,51.5,11.0,121.0,990.0,14.0,10.0,0.0,0.0,27.0,2.0,1.27,0.91,2.18,1.27,2.18,11.6,11.6,1.05,1.05,11.0,11.0,990.0,15.0,1.36,47.0,33.0,72.3,4.0,4.0,3.0,3.0,27.3,2.0,2.0,0.0,0.0,11.0,0.0,1.0,1.0,13.7,0.26,-0.3,-0.03,48.0,127.0,37.8,268.0,50.0,36.2,36.9,88.0,34.1,31.0,222.0,17.0,7.7,12.0,1.09,11.5,39.0,5.0,33.6,3.55,0.12,0.36,0.1,2.4,2.4,3676.0,4879.0,75.3,64526.0,26601.0,1640.0,1914.0,85.7,1526.0,1882.0,81.1,371.0,752.0,49.3,90.0,273.0,69.0,27.0,362.0,4345.0,515.0,118.0,7.0,19.0,218.0,54.0,19.0,30.0,0.0,229.0,19.0,109.0,195.0,17.73,130.0,30.0,9.0,12.0,23.0,2.09,18.0,1.0,0.0,1.0,0.0,183.0,107.0,82.0,79.0,22.0,119.0,31.0,88.0,96.0,291.0,3.0,6147.0,691.0,2034.0,2841.0,1331.0,204.0,6147.0,3023.0,150.0,104.0,32.0,3640.0,183.0,109.0,2.0,136.0,104.0,19.0,0.0,2.0,1.0,493.0,189.0,152.0,55.4
Boca Juniors,36.0,56.5,11.0,121.0,990.0,13.0,10.0,1.0,1.0,35.0,3.0,1.18,0.91,2.09,1.09,2.0,12.7,11.9,1.15,1.08,11.0,11.0,990.0,10.0,0.91,41.0,30.0,80.5,4.0,5.0,2.0,4.0,36.4,3.0,2.0,1.0,0.0,11.0,0.0,2.0,0.0,13.2,0.27,3.2,0.29,22.0,93.0,23.7,236.0,66.0,28.4,30.1,100.0,26.0,27.6,176.0,13.0,7.4,1.0,0.09,10.1,44.0,4.0,36.1,4.0,0.1,0.27,0.1,0.3,0.1,4298.0,5415.0,79.4,77961.0,27803.0,1778.0,2048.0,86.8,1901.0,2216.0,85.8,477.0,833.0,57.3,86.0,293.0,72.0,21.0,413.0,4811.0,589.0,148.0,8.0,38.0,240.0,73.0,15.0,38.0,0.0,248.0,15.0,110.0,209.0,19.0,152.0,22.0,7.0,9.0,20.0,1.82,12.0,1.0,1.0,0.0,0.0,211.0,140.0,103.0,84.0,24.0,115.0,42.0,73.0,93.0,201.0,2.0,6605.0,655.0,2313.0,3059.0,1281.0,180.0,6604.0,3696.0,150.0,107.0,38.0,4264.0,172.0,87.0,2.0,142.0,134.0,15.0,0.0,3.0,0.0,479.0,128.0,134.0,48.9
Cen. Córdoba–SdE,37.0,58.5,11.0,121.0,990.0,10.0,4.0,3.0,3.0,27.0,2.0,0.91,0.36,1.27,0.64,1.0,10.4,8.1,0.95,0.73,11.0,11.0,990.0,22.0,2.0,64.0,42.0,65.6,1.0,2.0,8.0,1.0,9.1,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,19.8,0.33,-2.2,-0.2,43.0,140.0,30.7,267.0,57.0,44.9,36.6,68.0,29.4,29.7,107.0,10.0,9.3,14.0,1.27,16.2,26.0,12.0,23.6,2.36,0.06,0.27,0.07,-0.4,-1.1,4427.0,5610.0,78.9,79404.0,27639.0,2009.0,2260.0,88.9,1796.0,2096.0,85.7,507.0,924.0,54.9,73.0,357.0,54.0,19.0,461.0,5034.0,561.0,171.0,7.0,66.0,176.0,49.0,17.0,15.0,0.0,240.0,15.0,130.0,200.0,18.18,126.0,15.0,13.0,24.0,14.0,1.27,5.0,1.0,3.0,3.0,0.0,195.0,122.0,96.0,78.0,21.0,102.0,17.0,85.0,79.0,191.0,3.0,6856.0,589.0,1936.0,3573.0,1416.0,169.0,6853.0,3629.0,179.0,147.0,40.0,4390.0,202.0,121.0,0.0,125.0,157.0,15.0,2.0,0.0,0.0,500.0,130.0,144.0,47.4
Defensa y Just,32.0,53.8,11.0,121.0,990.0,8.0,7.0,0.0,0.0,34.0,2.0,0.73,0.64,1.36,0.73,1.36,11.6,11.6,1.05,1.05,11.0,11.0,990.0,17.0,1.55,45.0,29.0,66.7,1.0,5.0,5.0,2.0,18.2,3.0,2.0,1.0,0.0,11.0,1.0,0.0,2.0,16.8,0.31,1.8,0.16,52.0,124.0,41.9,295.0,51.0,30.2,38.8,116.0,30.2,32.6,187.0,12.0,6.4,4.0,0.36,12.0,42.0,8.0,28.8,3.82,0.05,0.19,0.08,-3.6,-3.6,3810.0,4992.0,76.3,70962.0,29388.0,1624.0,1879.0,86.4,1652.0,1981.0,83.4,461.0,861.0,53.5,105.0,350.0,69.0,37.0,381.0,4432.0,545.0,139.0,10.0,39.0,211.0,49.0,18.0,24.0,0.0,213.0,15.0,113.0,253.0,23.0,192.0,23.0,13.0,13.0,15.0,1.36,11.0,1.0,2.0,0.0,0.0,185.0,109.0,85.0,80.0,20.0,125.0,35.0,90.0,112.0,273.0,1.0,6339.0,741.0,2206.0,2840.0,1359.0,166.0,6339.0,3355.0,144.0,127.0,20.0,3769.0,208.0,101.0,1.0,135.0,114.0,15.0,0.0,3.0,2.0,518.0,198.0,173.0,53.4
Deportivo Riestra,29.0,33.1,11.0,121.0,990.0,12.0,5.0,1.0,2.0,27.0,1.0,1.09,0.45,1.55,1.0,1.45,12.9,11.4,1.18,1.03,11.0,11.0,990.0,14.0,1.27,45.0,31.0,71.1,5.0,0.0,6.0,4.0,36.4,1.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,14.4,0.3,0.4,0.04,115.0,299.0,38.5,278.0,9.0,84.2,52.1,99.0,65.7,50.1,232.0,13.0,5.6,17.0,1.55,15.5,49.0,4.0,44.1,4.45,0.1,0.22,0.11,-0.9,-0.4,1822.0,3156.0,57.7,38348.0,22429.0,704.0,948.0,74.3,700.0,1087.0,64.4,352.0,885.0,39.8,80.0,252.0,59.0,13.0,287.0,2629.0,511.0,127.0,9.0,10.0,168.0,38.0,4.0,32.0,0.0,222.0,16.0,93.0,189.0,17.18,105.0,31.0,24.0,18.0,18.0,1.64,11.0,1.0,3.0,2.0,1.0,236.0,145.0,100.0,104.0,32.0,124.0,35.0,89.0,114.0,347.0,1.0,4585.0,670.0,1601.0,1841.0,1192.0,191.0,4583.0,1630.0,75.0,70.0,20.0,1802.0,204.0,107.0,1.0,135.0,112.0,16.0,2.0,1.0,0.0,451.0,184.0,197.0,48.3
Estudiantes,31.0,59.9,11.0,121.0,990.0,13.0,8.0,2.0,2.0,27.0,1.0,1.18,0.73,1.91,1.0,1.73,12.4,10.9,1.13,0.99,11.0,11.0,990.0,11.0,1.0,38.0,27.0,73.7,4.0,3.0,4.0,4.0,36.4,1.0,1.0,0.0,0.0,11.0,0.0,2.0,0.0,12.4,0.32,1.4,0.13,36.0,95.0,37.9,220.0,63.0,25.9,31.2,94.0,40.4,38.3,171.0,13.0,7.6,12.0,1.09,14.1,52.0,3.0,33.3,4.73,0.07,0.21,0.07,0.6,0.1,4676.0,5962.0,78.4,86082.0,31113.0,1923.0,2227.0,86.3,2110.0,2461.0,85.7,535.0,954.0,56.1,119.0,412.0,85.0,32.0,516.0,5413.0,532.0,142.0,10.0,42.0,266.0,50.0,13.0,30.0,0.0,224.0,17.0,129.0,279.0,25.36,204.0,25.0,16.0,10.0,23.0,2.09,19.0,0.0,2.0,1.0,0.0,209.0,132.0,81.0,108.0,20.0,125.0,26.0,99.0,93.0,223.0,1.0,7238.0,578.0,1947.0,3742.0,1620.0,228.0,7236.0,3902.0,174.0,159.0,43.0,4635.0,190.0,103.0,1.0,133.0,122.0,17.0,1.0,1.0,0.0,555.0,212.0,198.0,51.7
Gimnasia–LP,34.0,49.0,11.0,121.0,990.0,12.0,9.0,1.0,1.0,28.0,3.0,1.09,0.82,1.91,1.0,1.82,13.6,12.8,1.23,1.16,11.0,11.0,989.0,13.0,1.18,44.0,31.0,72.7,4.0,2.0,5.0,2.0,18.2,2.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,11.3,0.25,-1.7,-0.15,70.0,159.0,44.0,245.0,52.0,44.1,42.3,97.0,52.6,42.3,171.0,15.0,8.8,11.0,1.0,11.5,47.0,3.0,34.1,4.27,0.08,0.23,0.09,-1.6,-1.8,3184.0,4553.0,69.9,62370.0,28552.0,1254.0,1571.0,79.8,1346.0,1729.0,77.8,500.0,968.0,51.7,97.0,348.0,94.0,40.0,464.0,3991.0,540.0,118.0,10.0,33.0,275.0,54.0,26.0,22.0,0.0,248.0,22.0,114.0,234.0,21.27,171.0,19.0,14.0,10.0,22.0,2.0,17.0,2.0,1.0,2.0,0.0,240.0,159.0,111.0,86.0,43.0,143.0,37.0,106.0,104.0,259.0,3.0,5963.0,597.0,1770.0,2649.0,1620.0,232.0,5962.0,2828.0,170.0,119.0,41.0,3150.0,212.0,95.0,1.0,143.0,101.0,22.0,1.0,2.0,0.0,624.0,196.0,197.0,49.9
Godoy Cruz,31.0,48.7,10.0,110.0,900.0,11.0,8.0,2.0,2.0,21.0,1.0,1.1,0.8,1.9,0.9,1.7,13.0,11.5,1.3,1.15,10.0,10.0,900.0,9.0,0.9,36.0,27.0,75.0,4.0,3.0,3.0,3.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,12.8,0.36,3.8,0.38,79.0,195.0,40.5,320.0,42.0,45.3,38.4,84.0,59.5,46.0,144.0,11.0,7.6,18.0,1.8,17.0,28.0,9.0,22.6,2.8,0.07,0.32,0.09,-2.0,-2.5,2878.0,3987.0,72.2,55237.0,24708.0,1162.0,1419.0,81.9,1218.0,1506.0,80.9,413.0,812.0,50.9,86.0,257.0,64.0,27.0,322.0,3465.0,512.0,122.0,5.0,23.0,206.0,39.0,13.0,19.0,0.0,249.0,10.0,103.0,210.0,21.0,139.0,26.0,12.0,15.0,20.0,2.0,16.0,0.0,2.0,0.0,0.0,178.0,116.0,79.0,82.0,17.0,112.0,21.0,91.0,101.0,254.0,2.0,5204.0,578.0,1768.0,2343.0,1157.0,171.0,5202.0,2409.0,126.0,101.0,24.0,2852.0,198.0,91.0,0.0,128.0,98.0,10.0,0.0,0.0,0.0,437.0,151.0,160.0,48.6
